difficile;"Qui a réalisé le film ""The Godfather"" sorti en 1972 ?";Cinéma;Martin Scorsese;Steven Spielberg;Francis Ford Coppola;Alfred Hitchcock;Francis Ford Coppola;3
difficile;"Quel acteur joue le rôle de Luke Skywalker dans la saga ""Star Wars"" ?";Cinéma;Mark Hamill;Harrison Ford;Carrie Fisher;Anthony Daniels;Mark Hamill;3
difficile;"Dans quel film Clint Eastwood incarne-t-il l'inspecteur ""Dirty Harry"" Callahan ?";Cinéma;Unforgiven;Gran Torino;Dirty Harry;The Good, the Bad and the Ugly;Dirty Harry;3
difficile;Dans quel film Martin Scorsese n'a-t-il PAS dirigé Robert De Niro ?;Cinéma;Taxi Driver;Raging Bull;Goodfellas;The Departed;The Departed;3
facile;Quel artiste a chanté la chanson "Shape of You" ?;Musique;Ed Sheeran;Justin Bieber;Bruno Mars;Sam Smith;Ed Sheeran;1
facile;Quelle est la nationalité de Beyoncé ?;Musique;Américaine;Britannique;Australienne;Canadienne;Américaine;1
facile;Quelle est la chanson la plus vendue de tous les temps ?;Musique;"White Christmas";"Bohemian Rhapsody";"We Will Rock You";"Thriller";"White Christmas";1
facile;Quel groupe de rock a interprété la chanson "Stairway to Heaven" ?;Musique;Led Zeppelin;AC/DC;Guns N' Roses;The Rolling Stones;Led Zeppelin;1
facile;Quel est le titre de la chanson thème du film "Titanic" interprétée par Céline Dion ?;Musique;"My Heart Will Go On";"I Will Always Love You";"Unchained Melody";"Can't Help Falling in Love";"My Heart Will Go On";1
facile;Quel artiste a chanté la chanson "Happy" ?;Musique;Pharrell Williams;Katy Perry;Taylor Swift;Bruno Mars;Pharrell Williams;1
facile;Quelle est la chanteuse connue pour ses hits "Rolling in the Deep" et "Hello" ?;Musique;Adele;Beyoncé;Rihanna;Katy Perry;Adele;1
facile;Quel groupe de musique a chanté la chanson "Bohemian Rhapsody" ?;Musique;Queen;The Beatles;Led Zeppelin;AC/DC;Queen;1
facile;Quelle chanteuse a remporté le Grammy Award de l'album de l'année en 2020 pour son album "When We All Fall Asleep, Where Do We Go?" ?;Musique;Billie Eilish;Taylor Swift;Ariana Grande;Lizzo;Billie Eilish;1
facile;Quel est le titre de la chanson interprétée par John Lennon qui parle de l'espoir d'un monde meilleur ?;Musique;"Imagine";"What's Going On";"Blowin' in the Wind";"Heal the World";"Imagine";1
moyen;Quel groupe de musique a chanté la chanson "Hotel California" ?;Musique;Eagles;Queen;The Rolling Stones;ABBA;Eagles;2
moyen;Quel artiste a interprété la chanson "Purple Rain" ?;Musique;Prince;Michael Jackson;Stevie Wonder;Elvis Presley;Prince;2
moyen;Quelle chanteuse a remporté le Grammy Award de l'enregistrement de l'année en 2020 pour sa chanson "Bad Guy" ?;Musique;Billie Eilish;Taylor Swift;Ariana Grande;Lizzo;Billie Eilish;2
moyen;Quel est le titre de la chanson interprétée par Elvis Presley qui parle d'un amour inconditionnel ?;Musique;"Can't Help Falling in Love";"Love Me Tender";"Heartbreak Hotel";"Suspicious Minds";"Can't Help Falling in Love";2
moyen;Quel groupe de musique est connu pour son tube "Smoke on the Water" ?;Musique;Deep Purple;Led Zeppelin;Black Sabbath;Pink Floyd;Deep Purple;2
moyen;Quelle est la nationalité du groupe de musique ABBA ?;Musique;Suédoise;Britannique;Norvégienne;Danoise;Suédoise;2
moyen;Quelle chanteuse a interprété la chanson "Rolling in the Deep" ?;Musique;Adele;Beyoncé;Rihanna;Katy Perry;Adele;2
moyen;Quel groupe de musique a interprété la chanson "Don't Stop Believin'" ?;Musique;Journey;Guns N' Roses;AC/DC;Bon Jovi;Journey;2
moyen;Quelle chanson a été interprétée par John Lennon pour promouvoir la paix dans le monde ?;Musique;"Imagine";"Let It Be";"We Are the World";"Heal the World";"Imagine";2
moyen;Quel est le nom du groupe de rock britannique connu pour les chansons "Don't Stop Me Now" et "Bohemian Rhapsody" ?;Musique;Queen;The Beatles;Led Zeppelin;AC/DC;Queen;2
difficile;Quel est le titre de la chanson interprétée par Michael Jackson qui parle de l'environnement et de la préservation de la planète ?;Musique;"Earth Song";"Thriller";"Billie Jean";"Beat It";"Earth Song";3
difficile;Quel artiste a chanté la chanson "Imagine" ?;Musique;John Lennon;Bob Dylan;David Bowie;Elton John;John Lennon;3
difficile;Quelle chanson a été interprétée par Freddie Mercury lors du concert Live Aid de 1985 ?;Musique;"Bohemian Rhapsody";"We Will Rock You";"Radio Ga Ga";"Don't Stop Me Now";"Bohemian Rhapsody";3
difficile;Quel est le titre de la chanson interprétée par Bob Marley qui parle de l'unité et de la paix entre les peuples ?;Musique;"One Love";"No Woman, No Cry";"Redemption Song";"Stir It Up";"One Love";3
difficile;Quel groupe de musique a interprété la chanson "Kashmir" ?;Musique;Led Zeppelin;Pink Floyd;The Rolling Stones;Black Sabbath;Led Zeppelin;3
difficile;Quelle chanteuse a remporté le Grammy Award de l'album de l'année en 2019 pour son album "Golden Hour" ?;Musique;Kacey Musgraves;Taylor Swift;Ariana Grande;Dua Lipa;Kacey Musgraves;3
